id,medico_id,dia_semana,hora_inicio,hora_fin,activo,created_at,updated_at,created_by,updated_by
00d1a1ba-6418-4ed8-9714-3f79ae826468,0b595f01-c46f-437b-a891-ba626bb36f2c,5,12:30:00,16:00:00,true,2026-03-19 20:18:11.124529+00,2026-03-19 20:18:11.124529+00,43c6ae4b-77f4-46a8-98f3-9b3680002d5d,43c6ae4b-77f4-46a8-98f3-9b3680002d5d
0c1f18f9-cccb-4411-846c-6451e1cdf38d,7f7a11ce-e55e-4107-bb60-1888ac511195,3,09:00:00,14:00:00,true,2026-02-27 18:18:26.453675+00,2026-02-27 18:18:26.453675+00,2dbf4fc2-9673-494e-8c7d-9fb669420990,2dbf4fc2-9673-494e-8c7d-9fb669420990
24f4d4e2-7097-46c8-b6a2-495f8cb5008e,7f7a11ce-e55e-4107-bb60-1888ac511195,5,14:00:00,20:00:00,true,2026-02-27 18:18:26.453675+00,2026-02-27 18:18:26.453675+00,2dbf4fc2-9673-494e-8c7d-9fb669420990,2dbf4fc2-9673-494e-8c7d-9fb669420990
3bfc1630-22f7-48fe-b3fd-0c85a0267974,7f7a11ce-e55e-4107-bb60-1888ac511195,2,14:00:00,20:00:00,true,2026-02-27 18:18:26.453675+00,2026-02-27 18:18:26.453675+00,2dbf4fc2-9673-494e-8c7d-9fb669420990,2dbf4fc2-9673-494e-8c7d-9fb669420990
53c05cf5-8d77-4467-bcac-fcf9c2db1a01,0b595f01-c46f-437b-a891-ba626bb36f2c,1,13:00:00,19:30:00,true,2026-03-19 20:18:11.124529+00,2026-03-19 20:18:11.124529+00,43c6ae4b-77f4-46a8-98f3-9b3680002d5d,43c6ae4b-77f4-46a8-98f3-9b3680002d5d
570f99c9-e755-449f-a604-804ce25b2e1b,73d911d1-1a5e-4e60-86e6-308b36d2f352,2,14:00:00,17:00:00,true,2026-02-26 21:56:46.307331+00,2026-02-26 21:56:46.307331+00,85f827ab-0ae4-4436-a93e-e12c9f0c535c,85f827ab-0ae4-4436-a93e-e12c9f0c535c
6f7285e1-5ccf-4628-9d1b-aee8fe492311,0b595f01-c46f-437b-a891-ba626bb36f2c,2,16:00:00,19:30:00,true,2026-03-19 20:18:11.124529+00,2026-03-19 20:18:11.124529+00,43c6ae4b-77f4-46a8-98f3-9b3680002d5d,43c6ae4b-77f4-46a8-98f3-9b3680002d5d
7518c235-1d82-496e-aea8-037833c3c348,73d911d1-1a5e-4e60-86e6-308b36d2f352,2,09:00:00,14:00:00,true,2026-02-26 21:56:46.307331+00,2026-02-26 21:56:46.307331+00,85f827ab-0ae4-4436-a93e-e12c9f0c535c,85f827ab-0ae4-4436-a93e-e12c9f0c535c
77fb0148-380d-4f78-a485-8b1830a783d2,5fb83760-e08e-4909-95e6-18efeb2188b0,5,09:30:00,12:30:00,true,2026-02-26 13:05:36.635358+00,2026-02-26 13:05:36.635358+00,006b0257-eab7-458f-a7f9-57378469c3d5,006b0257-eab7-458f-a7f9-57378469c3d5
93e955d3-4b6c-4676-91e1-a3420e237cf0,73d911d1-1a5e-4e60-86e6-308b36d2f352,4,13:00:00,20:00:00,true,2026-02-26 21:56:46.307331+00,2026-02-26 21:56:46.307331+00,85f827ab-0ae4-4436-a93e-e12c9f0c535c,85f827ab-0ae4-4436-a93e-e12c9f0c535c
9a87f612-f540-438c-b125-9e56298fdcca,0b595f01-c46f-437b-a891-ba626bb36f2c,4,12:00:00,19:30:00,true,2026-03-19 20:18:11.124529+00,2026-03-19 20:18:11.124529+00,43c6ae4b-77f4-46a8-98f3-9b3680002d5d,43c6ae4b-77f4-46a8-98f3-9b3680002d5d
a084473a-60d9-4b56-9cf5-2651aff9fb34,5fb83760-e08e-4909-95e6-18efeb2188b0,4,09:30:00,12:30:00,true,2026-02-26 13:05:36.635358+00,2026-02-26 13:05:36.635358+00,006b0257-eab7-458f-a7f9-57378469c3d5,006b0257-eab7-458f-a7f9-57378469c3d5
c3a8b46f-3b5d-4983-a665-7be4da08b6fd,e21472df-3915-414a-a0a6-2d400ffccf47,6,08:00:00,20:00:00,true,2026-04-04 13:18:43.149186+00,2026-04-04 13:18:43.149186+00,b36fde2c-fe01-44c4-8565-802e9e71a4cd,b36fde2c-fe01-44c4-8565-802e9e71a4cd
cc29ccac-b687-445e-9647-8817cc30e4e2,73d911d1-1a5e-4e60-86e6-308b36d2f352,1,13:00:00,20:00:00,true,2026-02-26 21:56:46.307331+00,2026-02-26 21:56:46.307331+00,85f827ab-0ae4-4436-a93e-e12c9f0c535c,85f827ab-0ae4-4436-a93e-e12c9f0c535c
e09a7413-f58e-4d0a-afe8-5cbbb3610280,73d911d1-1a5e-4e60-86e6-308b36d2f352,3,13:00:00,20:00:00,true,2026-02-26 21:56:46.307331+00,2026-02-26 21:56:46.307331+00,85f827ab-0ae4-4436-a93e-e12c9f0c535c,85f827ab-0ae4-4436-a93e-e12c9f0c535c
e2369582-58f9-44ba-9d3f-479bc8c4c81a,73d911d1-1a5e-4e60-86e6-308b36d2f352,5,09:00:00,14:00:00,true,2026-02-26 21:56:46.307331+00,2026-02-26 21:56:46.307331+00,85f827ab-0ae4-4436-a93e-e12c9f0c535c,85f827ab-0ae4-4436-a93e-e12c9f0c535c
f389b2a8-daf9-4c39-9fc6-156b0ad0f154,0b595f01-c46f-437b-a891-ba626bb36f2c,3,12:00:00,19:30:00,true,2026-03-19 20:18:11.124529+00,2026-03-19 20:18:11.124529+00,43c6ae4b-77f4-46a8-98f3-9b3680002d5d,43c6ae4b-77f4-46a8-98f3-9b3680002d5d
